series,order,family,genus,genus.species
Mammalia,Cingulata,Dasypodidae,Dasypus,Dasypus_yepesi
Mammalia,Cingulata,Dasypodidae,Dasypus,Dasypus_kappleri
Mammalia,Cingulata,Dasypodidae,Dasypus,Dasypus_hybridus
Mammalia,Cingulata,Dasypodidae,Zaedyus,Zaedyus_pichiy
Mammalia,Cingulata,Dasypodidae,Euphractus,Euphractus_sexcinctus
Mammalia,Cingulata,Dasypodidae,Chaetophractus,Chaetophractus_villosus
Mammalia,Cingulata,Dasypodidae,Chaetophractus,Chaetophractus_nationi
Mammalia,Cingulata,Dasypodidae,Chaetophractus,Chaetophractus_vellerosus
Mammalia,Cingulata,Dasypodidae,Chlamyphorus,Chlamyphorus_truncatus
Mammalia,Cingulata,Dasypodidae,Calyptophractus,Calyptophractus_retusus
Mammalia,Cingulata,Dasypodidae,Tolypeutes,Tolypeutes_tricinctus
Mammalia,Cingulata,Dasypodidae,Tolypeutes,Tolypeutes_matacus
Mammalia,Cingulata,Dasypodidae,Priodontes,Priodontes_maximus
Mammalia,Cingulata,Dasypodidae,Cabassous,Cabassous_centralis
Mammalia,Cingulata,Dasypodidae,Cabassous,Cabassous_tatouay
Mammalia,Cingulata,Dasypodidae,Cabassous,Cabassous_unicinctus
Mammalia,Cingulata,Dasypodidae,Cabassous,Cabassous_chacoensis
Mammalia,Pilosa,Myrmecophagidae,Tamandua,Tamandua_tetradactyla
Mammalia,Pilosa,Myrmecophagidae,Tamandua,Tamandua_mexicana
Mammalia,Pilosa,Myrmecophagidae,Myrmecophaga,Myrmecophaga_tridactyla
Mammalia,Pilosa,Cyclopedidae,Cyclopes,Cyclopes_didactylus
Mammalia,Pilosa,Mylodontidae,Mylodon,Mylodon_darwinii
Mammalia,Pilosa,Megalonychidae,Choloepus,Choloepus_hoffmanni
Mammalia,Pilosa,Megalonychidae,Choloepus,Choloepus_didactylus
Mammalia,Pilosa,Nothrotheriidae,Nothrotheriops,Nothrotheriops_shastensis
Mammalia,Pilosa,Bradypodidae,Bradypus,Bradypus_pygmaeus
Mammalia,Pilosa,Bradypodidae,Bradypus,Bradypus_variegatus
Mammalia,Pilosa,Bradypodidae,Bradypus,Bradypus_tridactylus
Mammalia,Pilosa,Bradypodidae,Bradypus,Bradypus_torquatus
Mammalia,Sirenia,Dugongidae,Hydrodamalis,Hydrodamalis_gigas
Mammalia,Sirenia,Trichechidae,Trichechus,Trichechus_manatus
Mammalia,Sirenia,Trichechidae,Trichechus,Trichechus_senegalensis
Mammalia,Sirenia,Trichechidae,Trichechus,Trichechus_inunguis
Mammalia,Sirenia,Dugongidae,Dugong,Dugong_dugon
Mammalia,Proboscidea,Mammutidae,Mammut,Mammut_americanum
Mammalia,Proboscidea,Elephantidae,Loxodonta,Loxodonta_africana
Mammalia,Proboscidea,Mammutidae,Mammuthus,Mammuthus_primigenius
Mammalia,Proboscidea,Mammutidae,Mammuthus,Mammuthus_columbi
Mammalia,Proboscidea,Elephantidae,Elephas,Elephas_maximus
Mammalia,Proboscidea,Elephantidae,Elephas,Elephas_cypriotes
Mammalia,Proboscidea,Elephantidae,Elephas,Elephas_antiquus
Mammalia,Hyracoidea,Procaviidae,Procavia,Procavia_capensis
Mammalia,Hyracoidea,Procaviidae,Heterohyrax,Heterohyrax_brucei
Mammalia,Hyracoidea,Procaviidae,Dendrohyrax,Dendrohyrax_validus
Mammalia,Hyracoidea,Procaviidae,Dendrohyrax,Dendrohyrax_arboreus
Mammalia,Hyracoidea,Procaviidae,Dendrohyrax,Dendrohyrax_dorsalis
Mammalia,Tubulidentata,Orycteropodidae,Orycteropus,Orycteropus_afer
Mammalia,Macroscelidea,Macroscelididae,Rhynchocyon,Rhynchocyon_chrysopygus
Mammalia,Macroscelidea,Macroscelididae,Rhynchocyon,Rhynchocyon_udzungwensis
Mammalia,Macroscelidea,Macroscelididae,Rhynchocyon,Rhynchocyon_cirnei
Mammalia,Macroscelidea,Macroscelididae,Rhynchocyon,Rhynchocyon_petersi
Mammalia,Macroscelidea,Macroscelididae,Elephantulus,Elephantulus_edwardii
Mammalia,Macroscelidea,Macroscelididae,Elephantulus,Elephantulus_pilicaudus
Mammalia,Macroscelidea,Macroscelididae,Elephantulus,Elephantulus_myurus
Mammalia,Macroscelidea,Macroscelididae,Macroscelides,Macroscelides_micus
Mammalia,Macroscelidea,Macroscelididae,Macroscelides,Macroscelides_proboscideus
Mammalia,Macroscelidea,Macroscelididae,Macroscelides,Macroscelides_flavicaudatus
Mammalia,Macroscelidea,Macroscelididae,Elephantulus,Elephantulus_rozeti
Mammalia,Macroscelidea,Macroscelididae,Elephantulus,Elephantulus_revoilii
Mammalia,Macroscelidea,Macroscelididae,Petrodromus,Petrodromus_tetradactylus
Mammalia,Macroscelidea,Macroscelididae,Elephantulus,Elephantulus_fuscipes
